station,lon,lat
89330,-100.0766943,18.68513706
89331,-100.0292111,18.68452943
89332,-99.98172828,18.68390697
89333,-99.93424593,18.6832697
89334,-99.88676403,18.68261761
89335,-99.83928259,18.6819507
89336,-99.79180161,18.68126898
89337,-99.74432111,18.68057244
89338,-99.69684109,18.67986108
89339,-99.64936158,18.6791349
89340,-99.60188257,18.67839391
89341,-99.55440408,18.6776381
89342,-99.50692612,18.67686747
89343,-99.45944869,18.67608203
89344,-99.41197182,18.67528177
89345,-99.3644955,18.6744667
89346,-99.31701976,18.67363681
89347,-99.26954459,18.6727921
89348,-99.22207001,18.67193258
89349,-99.17459603,18.67105824
89350,-99.12712267,18.67016909
89351,-99.07964992,18.66926513
89352,-99.03217781,18.66834635
89353,-98.98470633,18.66741276
89354,-98.93723551,18.66646435
89355,-98.88976535,18.66550113
89356,-98.84229586,18.6645231
89357,-98.79482705,18.66353025
89358,-98.74735893,18.66252259
89359,-98.69989152,18.66150012
89360,-98.65242482,18.66046283
89361,-98.60495884,18.65941074
89362,-98.5574936,18.65834383
89363,-98.5100291,18.65726211
89364,-98.46256535,18.65616558
89365,-98.41510236,18.65505423
89366,-98.36764015,18.65392808
89367,-98.32017873,18.65278712
90319,-100.5985741,18.73592609
90320,-100.5510713,18.73548135
90321,-100.5035687,18.73502179
90322,-100.4560665,18.7345474
90323,-100.4085647,18.73405819
90324,-100.3610632,18.73355415
90325,-100.313562,18.73303529
90326,-100.2660612,18.73250161
90327,-100.2185608,18.73195311
90328,-100.1710608,18.73138978
90329,-100.1235611,18.73081163
90330,-100.0760619,18.73021866
90331,-100.0285631,18.72961086
90332,-99.98106467,18.72898825
90333,-99.93356672,18.72835081
90334,-99.88606921,18.72769855
90335,-99.83857215,18.72703147
90336,-99.79107557,18.72634957
90337,-99.74357946,18.72565284
90338,-99.69608384,18.7249413
90339,-99.64858872,18.72421493
90340,-99.60109411,18.72347375
90341,-99.55360001,18.72271774
90342,-99.50610645,18.72194692
90343,-99.45861342,18.72116127
90344,-99.41112094,18.7203608
90345,-99.36362903,18.71954552
90346,-99.31613768,18.71871541
90347,-99.26864691,18.71787049
90348,-99.22115673,18.71701074
90349,-99.17366716,18.71613618
90350,-99.12617819,18.7152468
90351,-99.07868985,18.7143426
90352,-99.03120213,18.71342358
90353,-98.98371506,18.71248974
90354,-98.93622864,18.71154109
90355,-98.88874288,18.71057762
90356,-98.8412578,18.70959933
90357,-98.7937734,18.70860623
90358,-98.74628969,18.70759831
90359,-98.69880668,18.70657557
90360,-98.65132439,18.70553802
90361,-98.60384282,18.70448565
90362,-98.55636198,18.70341846
90363,-98.50888189,18.70233646
90364,-98.46140255,18.70123964
90365,-98.41392398,18.70012801
90366,-98.36644618,18.69900157
90367,-98.31896917,18.69786031
91319,-100.5981131,18.78100609
91320,-100.5505947,18.78056123
91321,-100.5030765,18.78010155
91322,-100.4555587,18.77962703
91323,-100.4080412,18.77913769
91324,-100.3605241,18.77863353
91325,-100.3130073,18.77811453
91326,-100.2654909,18.77758071
91327,-100.2179748,18.77703207
91328,-100.1704592,18.77646859
91329,-100.1229439,18.77589029
91330,-100.0754291,18.77529717
91331,-100.0279146,18.77468921
91332,-99.98040063,18.77406644
91333,-99.93288705,18.77342883
91334,-99.88537392,18.7727764
91335,-99.83786126,18.77210915
91336,-99.79034905,18.77142707
91337,-99.74283733,18.77073016
91338,-99.69532609,18.77001843
91339,-99.64781536,18.76929188
91340,-99.60030513,18.7685505
91341,-99.55279542,18.7677943
91342,-99.50528624,18.76702327
91343,-99.4577776,18.76623742
91344,-99.41026951,18.76543674
91345,-99.36276198,18.76462124
91346,-99.31525502,18.76379092
91347,-99.26774864,18.76294578
91348,-99.22024286,18.76208581
91349,-99.17273767,18.76121102
91350,-99.12523309,18.7603214
91351,-99.07772914,18.75941697
91352,-99.03022582,18.75849771
91353,-98.98272314,18.75756363
91354,-98.93522111,18.75661473
91355,-98.88771975,18.75565101
91356,-98.84021906,18.75467247
91357,-98.79271905,18.7536791
91358,-98.74521974,18.75267092
91359,-98.69772113,18.75164792
91360,-98.65022323,18.75061009
91361,-98.60272606,18.74955745
91362,-98.55522962,18.74848999
91363,-98.50773393,18.7474077
91364,-98.46023899,18.7463106
91365,-98.41274482,18.74519868
91366,-98.36525142,18.74407195
91367,-98.31775881,18.74293039
92319,-100.5976518,18.82608303
92320,-100.5501178,18.82563805
92321,-100.502584,18.82517825
92322,-100.4550505,18.82470361
92323,-100.4075174,18.82421414
92324,-100.3599846,18.82370985
92325,-100.3124522,18.82319072
92326,-100.2649202,18.82265676
92327,-100.2173885,18.82210797
92328,-100.1698572,18.82154434
92329,-100.1223263,18.82096589
92330,-100.0747959,18.82037261
92331,-100.0272658,18.8197645
92332,-99.97973614,18.81914156
92333,-99.93220694,18.81850379
92334,-99.88467819,18.81785119
92335,-99.83714989,18.81718376
92336,-99.78962206,18.8165015
92337,-99.74209471,18.81580441
92338,-99.69456785,18.8150925
92339,-99.64704149,18.81436575
92340,-99.59951563,18.81362418
92341,-99.5519903,18.81286778
92342,-99.50446549,18.81209655
92343,-99.45694123,18.81131049
92344,-99.40941752,18.81050961
92345,-99.36189437,18.8096939
92346,-99.31437178,18.80886336
92347,-99.26684978,18.80801799
92348,-99.21932838,18.8071578
92349,-99.17180757,18.80628278
92350,-99.12428737,18.80539294
92351,-99.0767678,18.80448827
92352,-99.02924886,18.80356877
92353,-98.98173056,18.80263445
92354,-98.93421292,18.8016853
92355,-98.88669594,18.80072132
92356,-98.83917963,18.79974253
92357,-98.79166401,18.7987489
92358,-98.74414908,18.79774046
92359,-98.69663486,18.79671719
92360,-98.64912135,18.79567909
92361,-98.60160857,18.79462617
92362,-98.55409652,18.79355843
92363,-98.50658521,18.79247587
92364,-98.45907467,18.79137848
92365,-98.41156488,18.79026627
92366,-98.36405588,18.78913924
92367,-98.31654766,18.78799738
93319,-100.5971903,18.87115694
93320,-100.5496405,18.87071184
93321,-100.5020911,18.87025192
93322,-100.454542,18.86977716
93323,-100.4069933,18.86928756
93324,-100.3594449,18.86878313
93325,-100.3118968,18.86826386
93326,-100.2643491,18.86772976
93327,-100.2168018,18.86718083
93328,-100.1692549,18.86661706
