"CLAVE","CVE_EST","NOMBRE","MUNICIPIO","SITUACION","Latitud","Longitud","Altitud"
29169,"tlax","Zacatelco","Zacatelco","Operando",19.21944444,-98.24305556,2215
29170,"tlax","San Pablo Del Monte","San Pablo Del Monte","Operando",19.115,-98.17527778,2276
29172,"tlax","I.T.A. 029 Xocoyucan","Ixtacuixtla De Mariano Matamoros","Suspendida",19.30722222,-98.37277778,2220
30001,"ver","Acayucan","Acayucan","Suspendida",17.94722222,-94.91527778,93
30002,"ver","Acazonica (CFE)","Paso De Ovejas","Suspendida",19.2125,-96.58777778,339
30003,"ver","Actopan","Actopan","Operando",19.50277778,-96.61111111,250
30004,"ver","Acultzingo","Acultzingo","Suspendida",18.71666667,-97.30833333,1701
30005,"ver","Agua Dulce","Agua Dulce","Suspendida",18.14166667,-94.14444444,19
30006,"ver","Alamo","Êlamo Temapache","Operando",20.92944444,-97.67944444,19
30007,"ver","Almolonga","Naolinco","Suspendida",19.58833333,-96.78416667,730
30008,"ver","Altotonga","Altotonga","Operando",19.7625,-97.23472222,1867
30009,"ver","Alvarado (SMN)","Alvarado","Suspendida",18.77777778,-95.76388889,45
30010,"ver","Amatitla (CFE)","Tlaltetela","Suspendida",19.35,-96.88027778,605
30011,"ver","Angel R. Cabada","Angel R. Cabada","Operando",18.59722222,-95.44722222,28
30012,"ver","Atzalan","Atzalan","Operando",19.78888889,-97.24583333,1697
30013,"ver","Azueta","Jos? Azueta","Operando",18.075,-95.7,21
30014,"ver","Bellaco","San Juan Evangelista","Suspendida",17.78888889,-95.18194444,34
30015,"ver","Bella Esperanza (CFE)","Coatepec","Suspendida",19.43333333,-96.86666667,975
30016,"ver","Benito Juarez","Benito Juˇrez","Operando",20.88666667,-98.20111111,2202
30017,"ver","Boca De Sochiapa","Sochiapa","Suspendida",19.19194444,-96.93861111,41
30018,"ver","El Buzon","Manlio Fabio Altamirano","Suspendida",19.15694444,-96.35055556,34
30019,"ver","Camelpo","Cotaxtla","Suspendida",18.73888889,-96.45555556,50
30020,"ver","Caœada Rica","Tempoal","Suspendida",21.68472222,-98.16,34
30021,"ver","El Carrizal","Emiliano Zapata","Operando",19.36305556,-96.65833333,242
30022,"ver","Catemaco","Catemaco","Suspendida",18.41944444,-95.11361111,354
30023,"ver","Cerrito","Juan Rodr≠guez Clara","Suspendida",18.03333333,-95.28333333,76
30024,"ver","Cerro Colorado (CFE)","Apazapan","Suspendida",19.35388889,-96.70777778,515
30025,"ver","Ciudad Aleman","Cosamaloapan De Carpio","Operando",18.1875,-96.09444444,35
30026,"ver","Coatepec","Coatepec","Operando",19.45555556,-96.94444444,1188
30027,"ver","Coatzacoalcos (OBS)","Coatzacoalcos","Operando",18.14027778,-94.52222222,16
30028,"ver","Colonia Cinco De Mayo","Juan Rodr≠guez Clara","Suspendida",17.86666667,-95.3,170
30029,"ver","Colonia Grupo Tres","Playa Vicente","Suspendida",17.9,-95.53333333,140
30030,"ver","Heroica Cordoba (OBS)","CΩrdoba","Suspendida",18.90333333,-96.92722222,864
30031,"ver","Cosamaloapan De Carpio (SMN)","Cosamaloapan De Carpio","Suspendida",18.37222222,-95.79722222,8
